PRODNUMB,PRODNAME,EAT_VAT_CLASS,TAKE_VAT_CLASS,READBACK_ORD,MEAL_ONLY,MEAL_CODE,MEAL_DRINK,T_DRINK_CD,VATPR,DC_VATPR,VATPR_2,DC_VATPR_2,VATPR_3,DC_VATPR_3,VATPR_4,DC_VATPR_4,VATPR_5,DC_VATPR_5,VATPR_6,DC_VATPR_6
1,HAMBURGER,1,1,9,False,1,0,0,510,510,510,510,660,660,620,620,500,500,645,645
2,DBL HAMBURGER,1,1,11,False,1,0,0,755,755,755,755,975,975,920,920,740,740,955,955
3,CHEESEBURGER,1,1,12,False,1,0,0,550,550,550,550,710,710,670,670,535,535,695,695
4,DBL CHEESEBURGR,1,1,15,False,1,0,0,795,795,795,795,1025,1025,970,970,775,775,1005,1005
5,CHILLIBURGER,1,1,24,False,1,0,0,550,550,550,550,710,710,670,670,535,535,695,695
6,DBL CHILLIBURGER,1,1,25,False,1,0,0,795,795,795,795,1025,1025,970,970,775,775,1005,1005
7,ORIGINAL,1,1,2,False,1,0,0,550,550,550,550,710,710,670,670,535,535,695,695
8,DBL ORIGINAL,1,1,3,False,1,0,0,795,795,795,795,1025,1025,970,970,775,775,1005,1005
9,BLUECHEESE BGR,1,1,30,False,1,0,0,635,635,635,635,820,820,770,770,620,620,805,805
10,DBL BLUE CHSEBGR,1,1,31,False,1,0,0,880,880,880,880,1135,1135,1070,1070,860,860,1115,1115
11,VEGGIE BURGER,1,1,38,False,1,0,0,530,530,530,530,685,685,645,645,515,515,670,670
12,  VEGGIE instead,1,1,38,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,KIDS HAMBURGER,1,1,8,True,2,0,0,350,350,350,350,450,450,425,425,340,340,445,445
14,  XTR MEAT,1,1,0,False,0,0,0,245,245,245,245,315,315,300,300,240,240,310,310
15,GARLIC BURGER,1,1,26,False,1,0,0,550,550,550,550,710,710,670,670,535,535,695,695
16,DBL GARLIC BGR,1,1,27,False,1,0,0,795,795,795,795,1025,1025,970,970,775,775,1005,1005
17,HAWAIIAN BURGER,1,1,19,False,1,0,0,600,600,600,600,775,775,730,730,585,585,760,760
18,DBL HAWAIIAN BGR,1,1,20,False,1,0,0,845,845,845,845,1090,1090,1030,1030,825,825,1070,1070
19,CHICKEN SAMWICH,1,1,51,False,1,0,0,565,565,565,565,730,730,685,685,550,550,715,715
20,ALLSTAR BURGER,1,1,4,False,1,0,0,585,585,585,585,755,755,710,710,570,570,740,740
21,DBL ALLSTAR BGR,1,1,5,False,1,0,0,830,830,830,830,1070,1070,1010,1010,810,810,1050,1050
22,1000 ISLAND BGR,1,1,28,False,1,0,0,565,565,565,565,730,730,685,685,550,550,715,715
23,DBL CHILI n CHSE,1,1,25,False,1,0,0,815,815,815,815,1050,1050,990,990,795,795,1030,1030
25,BACON CHEESE BGR,1,1,17,False,1,0,0,635,635,635,635,820,820,770,770,620,620,805,805
26,  DIP KETCHUP,1,0,96,False,0,0,0,35,35,35,35,45,45,45,45,35,35,45,45
27,  DIP MAYO,1,0,96,False,0,0,0,55,55,55,55,70,70,65,65,55,55,70,70
28,  DIP CHILLI,1,0,96,False,0,0,0,65,65,65,65,85,85,80,80,65,65,80,80
29,  DIP GARLC MAYO,1,0,96,False,0,0,0,65,65,65,65,85,85,80,80,65,65,80,80
30,REGULAR FRIES,1,1,87,False,0,0,0,235,140,235,140,305,180,285,170,230,135,295,175
31,LARGE FRIES,1,1,86,False,0,0,0,295,200,295,200,380,260,360,245,290,195,375,255
32,CHICKEN ALLSTAR,1,1,57,False,1,0,0,600,600,600,600,775,775,730,730,585,585,760,760
33,  XTR CHICkN,1,1,0,False,0,0,0,295,295,295,295,380,380,360,360,290,290,375,375
34,  XTR VEGGIE,1,1,0,False,0,0,0,230,230,230,230,295,295,280,280,225,225,290,290
35,KIDS CHEESE-BGR,1,1,9,True,2,0,0,390,390,390,390,505,505,475,475,380,380,495,495
36,  XTR BACON,1,1,0,False,0,0,0,115,115,115,115,150,150,140,140,110,110,145,145
37,  XTR GARLIC MAY,1,1,0,False,0,0,0,65,65,65,65,85,85,80,80,65,65,80,80
38,  XTR PINAPL,1,1,0,False,0,0,0,85,85,85,85,110,110,105,105,85,85,110,110
39,  DIP BBQ,1,0,96,False,0,0,0,60,60,60,60,75,75,75,75,60,60,75,75
40,  XTR KETCH,1,1,0,False,0,0,0,35,35,35,35,45,45,45,45,35,35,45,45
41,  XTR MAYO,1,1,0,False,0,0,0,55,55,55,55,70,70,65,65,55,55,70,70
42,  XTR CHILLI,1,1,0,False,0,0,0,65,65,65,65,85,85,80,80,65,65,80,80
43,  XTR MISC 25p ,1,1,0,False,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25
44,VEGIE SALAD SAMW,1,0,36,False,1,0,0,490,490,490,490,630,630,595,595,480,480,620,620
45,  XTR CHEEZ,1,1,0,False,0,0,0,50,50,50,50,65,65,60,60,50,50,65,65
46,  XTR MISC 10p,1,1,0,False,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10
47,  XTR BLUE,1,1,0,False,0,0,0,95,95,95,95,125,125,115,115,95,95,120,120
48,CHICKEN CHILLI,1,1,54,False,1,0,0,590,590,590,590,760,760,715,715,575,575,745,745
51,COKE CLASSIC CAN,1,1,237,False,0,1,99,190,190,190,190,245,245,230,230,185,185,240,240
52,TANGO CAN,1,1,239,False,0,1,125,175,175,175,175,225,225,215,215,170,170,220,220
53,DIET COKE CAN,1,1,237,False,0,1,138,175,175,175,175,225,225,215,215,170,170,220,220
54,DBL BACON CHEESE,1,1,18,False,1,0,0,880,880,880,880,1135,1135,1070,1070,860,860,1115,1115
55,OUR BIGGEST BGR,1,1,2,False,1,0,0,925,925,925,925,1195,1195,1125,1125,905,905,1170,1170
60,BANANA SHAKE,1,0,209,False,0,1,66,305,300,305,300,395,385,370,365,300,295,385,380
61,CHOCOLATE SHAKE,1,0,207,False,0,1,67,305,300,305,300,395,385,370,365,300,295,385,380
62,STRAWBERRY SHK,1,0,206,False,0,1,68,305,300,305,300,395,385,370,365,300,295,385,380
64,VEGGIE BACN SAM,1,1,37,False,1,0,0,530,530,530,530,685,685,645,645,515,515,670,670
65,TEXAN BURGER,1,1,32,False,1,0,0,600,600,600,600,775,775,730,730,585,585,760,760
66,BANANA SHK LARGE,1,0,204,False,0,1,0,390,365,390,365,505,470,475,440,380,360,495,465
67,CHOC SHK LARGE,1,0,202,False,0,1,0,390,365,390,365,505,470,475,440,380,360,495,465
68,STRAW SHK LARGE,1,0,201,False,0,1,0,390,365,390,365,505,470,475,440,380,360,495,465
69,VANILLA SHAKE,1,0,208,False,0,1,70,305,300,305,300,395,385,370,365,300,295,385,380
70,VANILLA SK LARGE,1,0,203,False,0,1,0,390,365,390,365,505,470,475,440,380,360,495,465
71,SIX  BITES,1,1,60,False,1,0,0,560,560,560,560,720,720,680,680,545,545,710,710
72,NINE BITES,1,1,59,False,1,0,0,720,720,720,720,930,930,875,875,705,705,910,910
73,FRIES Lrg Go Lrg,1,1,88,False,0,0,0,60,60,60,60,80,80,75,75,60,60,80,80
75,7UP LEMON CAN,1,1,240,False,0,1,124,175,175,175,175,225,225,215,215,170,170,220,220
76,CHOC SHKE KIDS,1,0,212,False,0,2,0,200,185,200,185,260,240,245,225,195,180,255,235
77,BLT SAMWICH,1,0,44,False,1,0,0,490,490,490,490,630,630,595,595,480,480,620,620
78,CHICKEN EL FUEGO,1,1,56,False,1,0,0,635,635,635,635,820,820,770,770,620,620,805,805
81,HOT APPLE PIE,1,1,100,False,0,0,0,175,175,175,175,225,225,215,215,170,170,220,220
82,ONION RINGS 8,1,1,94,False,0,0,0,260,260,260,260,335,335,315,315,255,255,330,330
83,BEAN BURGER,1,1,40,False,1,0,0,555,555,555,555,715,715,675,675,540,540,700,700
84,BANANA SHKE KIDS,1,0,214,False,0,2,0,200,185,200,185,260,240,245,225,195,180,255,235
85,STRAWB SHKE KIDS,1,0,211,False,0,2,0,200,185,200,185,260,240,245,225,195,180,255,235
86,VANILLA SHK KIDS,1,0,213,False,0,2,0,200,185,200,185,260,240,245,225,195,180,255,235
87,COFFEE     165,1,1,182,False,0,1,87,175,175,175,175,225,225,215,215,170,170,220,220
89,COLA KIDS,1,1,231,False,0,2,0,90,90,90,90,115,115,110,110,90,90,115,115
90,CHICKEN BACN CHS,1,1,53,False,1,0,0,690,690,690,690,890,890,840,840,675,675,875,875
91,BOTTLED WATER,1,1,254,False,0,1,91,175,175,175,175,225,225,215,215,170,170,220,220
92,VEGGIE DE-LUXE,1,1,39,False,1,0,0,615,615,615,615,795,795,745,745,600,600,780,780
93,KIDS WATER,1,1,254,False,0,2,0,90,90,90,90,115,115,110,110,90,90,115,115
94,CHICKEN WRAP,1,1,56,False,1,0,0,590,590,590,590,760,760,715,715,575,575,745,745
95,MOZARELA FINGERS,1,1,95,False,0,0,0,335,335,335,335,430,430,405,405,325,325,425,425
97,  XTR BEAN PATTY,1,1,94,False,0,0,0,230,230,230,230,295,295,280,280,225,225,290,290
99,CLASSIC COKE 500,1,1,221,False,0,1,0,255,255,255,255,330,330,310,310,250,250,325,325
100,  XTR BBQ,1,1,0,False,0,0,0,60,60,60,60,75,75,75,75,60,60,75,75
101,  DIP 1000 ISLE,1,0,97,False,0,0,0,60,60,60,60,75,75,75,75,60,60,75,75
102,ONION RINGS 12,1,1,93,False,0,0,0,350,350,350,350,450,450,425,425,340,340,445,445
104,  DIP BLUECHEESE,1,0,97,False,0,0,0,95,95,95,95,125,125,115,115,95,95,120,120
105,DBL 1000 ISL BGR,1,1,29,False,1,0,0,810,810,810,810,1045,1045,985,985,790,790,1025,1025
107,  XTR VGBACN,1,1,0,False,0,0,0,125,125,125,125,160,160,150,150,120,120,160,160
108,PLATTER 2nd dip,1,1,58,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,  XTR 1000,1,1,0,False,0,0,0,60,60,60,60,75,75,75,75,60,60,75,75
110,  DIP NONE,1,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,  XTR NONE,1,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,DBL TEXAN BURGER,1,1,33,False,1,0,0,845,845,845,845,1090,1090,1030,1030,825,825,1070,1070
115,CHICKN BBQ TEXAN,1,1,55,False,1,0,0,635,635,635,635,820,820,770,770,620,620,805,805
118,KIDS  4  BITES  ,1,1,58,True,2,0,0,350,350,350,350,450,450,425,425,340,340,445,445
124,7UP LEMON 500m,1,1,224,False,0,1,0,240,240,240,240,310,310,290,290,235,235,305,305
125,TANGO ORANGE 500,1,1,224,False,0,1,0,240,240,240,240,310,310,290,290,235,235,305,305
133,TEA         165,1,1,181,False,0,1,133,175,175,175,175,225,225,215,215,140,170,220,220
136,  CHILLI  tub,1,0,41,False,0,0,0,480,480,480,480,620,620,585,585,470,470,605,605
138,DIET COKE 500ml,1,1,224,False,0,1,0,240,240,240,240,310,310,290,290,235,235,305,305
146,TOFFEE SHAKE,1,0,208,False,0,1,147,305,300,305,300,395,385,370,365,300,295,385,380
147,TOFFEE SK LARGE,1,0,203,False,0,1,0,390,365,390,365,505,470,475,440,380,360,495,465
148,TOFFEE SHK KIDS,1,0,213,False,0,2,0,200,185,200,185,260,240,245,225,195,180,255,235
166,DELIVERY £2.50 ,1,1,225,False,0,0,0,250,250,250,250,250,250,250,250,250,250,250,250
171,TRPL CHEESEBRGR,1,1,14,False,1,0,0,1040,1040,1040,1040,1340,1340,1270,1270,1015,1015,1315,1315
172,TRPL ALLSTAR BRG,1,1,6,False,1,0,0,1075,1075,1075,1075,1385,1385,1310,1310,1050,1050,1360,1360
173,TRPL BACON CHEES,1,1,17,False,1,0,0,1125,1125,1125,1125,1450,1450,1370,1370,1100,1100,1425,1425
191,KIDS FRT-SH ORNG,1,1,238,False,0,2,0,90,90,90,90,115,115,110,110,90,90,115,115
194,KID FRT-SH A-BLC,1,1,240,False,0,2,0,90,90,90,90,115,115,110,110,90,90,115,115
200,SUPER SHAKE OREO,1,0,250,False,0,1,200,495,495,495,495,640,640,600,600,485,485,625,625
201,SUPER SHKE LOTUS,1,0,250,False,0,1,201,495,495,495,495,640,640,600,600,485,485,625,625
202,SUPER SHKE FLAKE,1,0,251,False,0,1,202,495,495,495,495,640,640,600,600,485,485,625,625
207,SUPER MINT AERO,1,0,251,False,0,1,207,495,495,495,495,640,640,600,600,485,485,625,625
